Title,Abstract,Link
"""Glioblastoma.""","""Glioblastoma is the most common and aggressive primary brain tumor in adults. Defining histopathologic features are necrosis and endothelial proliferation, resulting in the assignment of grade IV, the highest grade in the World Health Organization (WHO) classification of brain tumors. The classic clinical term 'secondary glioblastoma' refers to a minority of glioblastomas that evolve from previously diagnosed WHO grade II or grade III gliomas. Specific point mutations of the genes encoding isocitrate dehydrogenase (IDH) 1 or 2 appear to define molecularly these tumors that are associated with younger age and more favorable outcome; the vast majority of glioblastomas are IDH wild-type. Typical molecular changes in glioblastoma include mutations in genes regulating receptor tyrosine kinase (RTK)/rat sarcoma (RAS)/phosphoinositide 3-kinase (PI3K), p53, and retinoblastoma protein (RB) signaling. Standard treatment of glioblastoma includes surgery, radiotherapy, and alkylating chemotherapy. Promoter methylation of the gene encoding the DNA repair protein, O(6)-methylguanyl DNA methyltransferase (MGMT), predicts benefit from alkylating chemotherapy with temozolomide and guides choice of first-line treatment in elderly patients. Current developments focus on targeting the molecular characteristics that drive the malignant phenotype, including altered signal transduction and angiogenesis, and more recently, various approaches of immunotherapy.""",https://pubmed.ncbi.nlm.nih.gov/26948367
"""Glioblastoma and Other Primary Brain Malignancies in Adults: A Review.""","""Importance: Malignant primary brain tumors cause more than 15 000 deaths per year in the United States. The annual incidence of primary malignant brain tumors is approximately 7 per 100 000 individuals and increases with age. Five-year survival is approximately 36%. Observations: Approximately 49% of malignant brain tumors are glioblastomas, and 30% are diffusely infiltrating lower-grade gliomas. Other malignant brain tumors include primary central nervous system (CNS) lymphoma (7%) and malignant forms of ependymomas (3%) and meningiomas (2%). Symptoms of malignant brain tumors include headache (50%), seizures (20%-50%), neurocognitive impairment (30%-40%), and focal neurologic deficits (10%-40%). Magnetic resonance imaging before and after a gadolinium-based contrast agent is the preferred imaging modality for evaluating brain tumors. Diagnosis requires tumor biopsy with consideration of histopathological and molecular characteristics. Treatment varies by tumor type and often includes a combination of surgery, chemotherapy, and radiation. For patients with glioblastoma, the combination of temozolomide with radiotherapy improved survival when compared with radiotherapy alone (2-year survival, 27.2% vs 10.9%; 5-year survival, 9.8% vs 1.9%; hazard ratio [HR], 0.6 [95% CI, 0.5-0.7]; P < .001). In patients with anaplastic oligodendroglial tumors with 1p/19q codeletion, probable 20-year overall survival following radiotherapy without vs with the combination of procarbazine, lomustine, and vincristine was 13.6% vs 37.1% (80 patients; HR, 0.60 [95% CI, 0.35-1.03]; P = .06) in the EORTC 26951 trial and 14.9% vs 37% in the RTOG 9402 trial (125 patients; HR, 0.61 [95% CI, 0.40-0.94]; P = .02). Treatment of primary CNS lymphoma includes high-dose methotrexate-containing regimens, followed by consolidation therapy with myeloablative chemotherapy and autologous stem cell rescue, nonmyeloablative chemotherapy regimens, or whole brain radiation. Conclusions and relevance: The incidence of primary malignant brain tumors is approximately 7 per 100 000 individuals, and approximately 49% of primary malignant brain tumors are glioblastomas. Most patients die from progressive disease. First-line therapy for glioblastoma is surgery followed by radiation and the alkylating chemotherapeutic agent temozolomide.""",https://pubmed.ncbi.nlm.nih.gov/36809318
"""Molecular targeted therapy of glioblastoma.""","""Glioblastomas are intrinsic brain tumors thought to originate from neuroglial stem or progenitor cells. More than 90% of glioblastomas are isocitrate dehydrogenase (IDH)-wildtype tumors. Incidence increases with age, males are more often affected. Beyond rare instances of genetic predisposition and irradiation exposure, there are no known glioblastoma risk factors. Surgery as safely feasible followed by involved-field radiotherapy plus concomitant and maintenance temozolomide chemotherapy define the standard of care since 2005. Except for prolonged progression-free, but not overall survival afforded by the vascular endothelial growth factor antibody, bevacizumab, no pharmacological intervention has been demonstrated to alter the course of disease. Specifically, targeting cellular pathways frequently altered in glioblastoma, such as the phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT)/mammalian target of rapamycin (mTOR), the p53 and the retinoblastoma (RB) pathways, or epidermal growth factor receptor (EGFR) gene amplification or mutation, have failed to improve outcome, likely because of redundant compensatory mechanisms, insufficient target coverage related in part to the blood brain barrier, or poor tolerability and safety. Yet, uncommon glioblastoma subsets may exhibit specific vulnerabilities amenable to targeted interventions, including, but not limited to: high tumor mutational burden, BRAF mutation, neurotrophic tryrosine receptor kinase (NTRK) or fibroblast growth factor receptor (FGFR) gene fusions, and MET gene amplification or fusions. There is increasing interest in targeting not only the tumor cells, but also the microenvironment, including blood vessels, the monocyte/macrophage/microglia compartment, or T cells. Improved clinical trial designs using pharmacodynamic endpoints in enriched patient populations will be required to develop better treatments for glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31541850
"""A Patient-Derived Glioblastoma Organoid Model and Biobank Recapitulates Inter- and Intra-tumoral Heterogeneity.""","""Glioblastomas exhibit vast inter- and intra-tumoral heterogeneity, complicating the development of effective therapeutic strategies. Current in vitro models are limited in preserving the cellular and mutational diversity of parental tumors and require a prolonged generation time. Here, we report methods for generating and biobanking patient-derived glioblastoma organoids (GBOs) that recapitulate the histological features, cellular diversity, gene expression, and mutational profiles of their corresponding parental tumors. GBOs can be generated quickly with high reliability and exhibit rapid, aggressive infiltration when transplanted into adult rodent brains. We further demonstrate the utility of GBOs to test personalized therapies by correlating GBO mutational profiles with responses to specific drugs and by modeling chimeric antigen receptor T cell immunotherapy. Our studies show that GBOs maintain many key features of glioblastomas and can be rapidly deployed to investigate patient-specific treatment strategies. Additionally, our live biobank establishes a rich resource for basic and translational glioblastoma research.""",https://pubmed.ncbi.nlm.nih.gov/31883794
"""Glioblastoma: Overview of Disease and Treatment.""","""Background: Glioblastoma (GBM) is the most common and aggressive malignant brain tumor in adults. Current treatment options at diagnosis are multimodal and include surgical resection, radiation, and chemotherapy. Significant advances in the understanding of the molecular pathology of GBM and associated cell signaling pathways have opened opportunities for new therapies for recurrent and newly diagnosed disease. Innovative treatments, such as tumor-treating fields (TTFields) and immunotherapy, give hope for enhanced survival. Objectives: This article reviews the background, risks, common complications, and treatment options for GBM. Methods: A brief review of GBM, treatment options, and a look at new therapies that have been approved for new and recurrent disease are included in this article. Findings: Despite aggressive resection and combined modality adjuvant treatment, most GBMs recur. Treatments, such as TTFields, drugs to target molecular receptors, and immunotherapy, are promising new options.""",https://pubmed.ncbi.nlm.nih.gov/27668386
"""Glioblastoma and other malignant gliomas: a clinical review.""","""Importance: Glioblastomas and malignant gliomas are the most common primary malignant brain tumors, with an annual incidence of 5.26 per 100,000 population or 17,000 new diagnoses per year. These tumors are typically associated with a dismal prognosis and poor quality of life. Objective: To review the clinical management of malignant gliomas, including genetic and environmental risk factors such as cell phones, diagnostic pitfalls, symptom management, specific antitumor therapy, and common complications. Evidence review: Search of PubMed references from January 2000 to May 2013 using the terms glioblastoma, glioma, malignant glioma, anaplastic astrocytoma, anaplastic oligodendroglioma, anaplastic oligoastrocytoma, and brain neoplasm. Articles were also identified through searches of the authors' own files. Evidence was graded using the American Heart Association classification system. Findings: Only radiation exposure and certain genetic syndromes are well-defined risk factors for malignant glioma. The treatment of newly diagnosed glioblastoma is based on radiotherapy combined with temozolomide. This approach doubles the 2-year survival rate to 27%, but overall prognosis remains poor. Bevacizumab is an emerging treatment alternative that deserves further study. Grade III tumors have been less well studied, and clinical trials to establish standards of care are ongoing. Patients with malignant gliomas experience frequent clinical complications, including thromboembolic events, seizures, fluctuations in neurologic symptoms, and adverse effects from corticosteroids and chemotherapies that require proper management and prophylaxis. Conclusions and relevance: Glioblastoma remains a difficult cancer to treat, although therapeutic options have been improving. Optimal management requires a multidisciplinary approach and knowledge of potential complications from both the disease and its treatment.""",https://pubmed.ncbi.nlm.nih.gov/24193082
"""Glioblastoma in adults: a Society for Neuro-Oncology (SNO) and European Society of Neuro-Oncology (EANO) consensus review on current management and future directions.""","""Glioblastomas are the most common form of malignant primary brain tumor and an important cause of morbidity and mortality. In recent years there have been important advances in understanding the molecular pathogenesis and biology of these tumors, but this has not translated into significantly improved outcomes for patients. In this consensus review from the Society for Neuro-Oncology (SNO) and the European Association of Neuro-Oncology (EANO), the current management of isocitrate dehydrogenase wildtype (IDHwt) glioblastomas will be discussed. In addition, novel therapies such as targeted molecular therapies, agents targeting DNA damage response and metabolism, immunotherapies, and viral therapies will be reviewed, as well as the current challenges and future directions for research.""",https://pubmed.ncbi.nlm.nih.gov/32328653
"""Recent Developments in Glioblastoma Therapy: Oncolytic Viruses and Emerging Future Strategies.""","""Glioblastoma is the most aggressive form of malignant brain tumor. Standard treatment protocols and traditional immunotherapy are poorly effective as they do not significantly increase the long-term survival of glioblastoma patients. Oncolytic viruses (OVs) may be an effective alternative approach. Combining OVs with some modern treatment options may also provide significant benefits for glioblastoma patients. Here we review virotherapy for glioblastomas and describe several OVs and their combination with other therapies. The personalized use of OVs and their combination with other treatment options would become a significant area of research aiming to develop the most effective treatment regimens for glioblastomas.""",https://pubmed.ncbi.nlm.nih.gov/36851761
"""A comprehensive profile of recurrent glioblastoma.""","""In spite of relentless efforts to devise new treatment strategies, primary glioblastomas invariably recur as aggressive, therapy-resistant relapses and patients rapidly succumb to these tumors. Many therapeutic agents are first tested in clinical trials involving recurrent glioblastomas. Remarkably, however, fundamental knowledge on the biology of recurrent glioblastoma is just slowly emerging. Here, we review current knowledge on recurrent glioblastoma and ask whether and how therapies change intra-tumor heterogeneity, molecular traits and growth pattern of glioblastoma, and to which extent this information can be exploited for therapeutic decision-making. We conclude that the ability to characterize and predict therapy-induced changes in recurrent glioblastoma will determine, whether, one day, glioblastoma can be contained in a state of chronic disease.""",https://pubmed.ncbi.nlm.nih.gov/27041580
"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""","""Glioblastoma ranks among the most lethal of all human cancers. Glioblastomas display striking cellular heterogeneity, with stem-like glioblastoma stem cells (GSCs) at the apex. Although the original identification of GSCs dates back more than a decade, the purification and characterization of GSCs remains challenging. Despite these challenges, the evidence that GSCs play important roles in tumor growth and response to therapy has grown. Like normal stem cells, GSCs are functionally defined and distinguished from their differentiated tumor progeny at core transcriptional, epigenetic, and metabolic regulatory levels, suggesting that no single therapeutic modality will be universally effective against a heterogenous GSC population. Glioblastomas induce a systemic immunosuppression with mixed responses to oncoimmunologic modalities, suggesting the potential for augmentation of response with a deeper consideration of GSCs. Unfortunately, the GSC literature has been complicated by frequent use of inferior cell lines and a lack of proper functional analyses. Collectively, glioblastoma offers a reliable cancer to study cancer stem cells to better model the human disease and inform improved biologic understanding and design of novel therapeutics.""",https://pubmed.ncbi.nlm.nih.gov/31160393
