Verb,count
have,65
show,56
associate,55
use,47
develop,45
treat,42
remain,34
identify,33
suggest,27
base,27
compare,26
include,25
characterize,25
contain,24
exhibit,24
analyze,22
undergo,22
diagnose,19
provide,19
express,18
present,17
correlate,17
derive,16
reveal,15
cause,15
occur,14
relate,14
increase,14
result,13
perform,12
grade,12
arise,12
involve,11
represent,11
affect,11
progress,11
assess,11
observe,11
induce,11
determine,10
demonstrate,10
find,10
follow,10
improve,10
evolve,10
target,9
lack,9
define,9
receive,9
know,9
detect,9
evaluate,9
enrol,8
locate,8
display,8
investigate,8
exist,8
confirm,8
harbor,7
classify,7
promote,6
discuss,6
infiltrate,6
describe,6
understand,6
invade,6
constitute,6
grow,6
review,6
predict,6
report,6
carry,6
share,6
mediate,6
analyse,5
obtain,5
regulate,5
account,5
establish,5
collect,5
enhance,5
indicate,5
give,5
originate,5
support,5
study,5
emerge,5
expect,5
examine,5
require,4
consider,4
explain,4
influence,4
mean,4
recognize,4
contribute,4
match,4
accord,4
decrease,4
take,4
offer,4
apply,4
activate,4
recur,4
correspond,4
distribute,3
tend,3
continue,3
test,3
focus,3
revisit,3
divide,3
brain,3
stratify,3
differ,3
see,3
subject,3
model,3
combine,3
employ,3
transplant,3
hijack,3
operate,3
depend,3
recruit,3
lead,3
occupy,3
be,3
drive,3
consist,3
appear,3
dehydrogenase,3
help,3
proliferate,3
alter,3
synthesize,3
reflect,3
metastasize,3
screen,3
utilize,3
acquire,2
methylate,2
misclassifie,2
yield,2
link,2
verify,2
accumulate,2
measure,2
inhibit,2
misdiagnose,2
reproduce,2
produce,2
randomize,2
accompany,2
publish,2
form,2
preserve,2
amplify,2
reach,2
compose,2
complicate,2
allow,2
fractionate,2
distinguish,2
predominate,2
respond,2
suppress,2
regard,2
aim,2
subdivide,2
reduce,2
temozolomide,2
alkylate,2
transfecte,2
select,2
age,2
implicate,2
face,2
colocalize,2
tolerate,2
underlie,2
discover,2
facilitate,2
explore,2
manage,2
neutralize,2
validate,2
need,2
incorporate,2
bear,2
play,2
characterise,2
comprise,2
challenge,2
retrieve,2
set,2
ionize,2
corroborate,2
make,2
think,2
recapitulate,2
achieve,2
seem,2
debate,2
rank,2
deploy,2
elucidate,1
elevate,1
evoke,1
partition,1
indentifie,1
control,1
inject,1
-,1
isolate,1
prove,1
prevent,1
prompt,1
rely,1
relapse,1
tpen,1
pool,1
restrict,1
register,1
overexpresse,1
lose,1
lengthen,1
dictate,1
generate,1
survival,1
store,1
act,1
interrogate,1
render,1
invasiveness,1
propagate,1
cover,1
rnai)-mediate,1
hamper,1
surround,1
pair,1
implement,1
nf,1
construct,1
xenografte,1
multivariate,1
confer,1
implant,1
sgbm,1
vary,1
cure,1
kps,1
exert,1
radiotherapy,1
monosomy,1
monitor,1
term,1
owe,1
degrade,1
cut,1
communicate,1
etoposide,1
stemness,1
enrich,1
educate,1
innate,1
bleed,1
idhwt,1
disseminate,1
become,1
preculture,1
novel,1
line,1
feature,1
image,1
enable,1
connect,1
deplete,1
sort,1
defy,1
lmd,1
culture,1
passage,1
promise,1
optimize,1
refine,1
prevail,1
die,1
kindre,1
pose,1
minimize,1
fold,1
embed,1
refer,1
favor,1
secure,1
preprocesse,1
limit,1
noncode,1
bgbms)-are,1
illuminate,1
mismatch,1
calculate,1
fail,1
readmitte,1
promoter,1
survive,1
summarize,1
let,1
spread,1
alleviate,1
=,1
seat,1
tmz,1
condition,1
ascertain,1
separate,1
exploit,1
categorize,1
incline,1
enforce,1
repress,1
admit,1
ask,1
impact,1
clarify,1
scan,1
worsen,1
direct,1
call,1
stain,1
serve,1
advance,1
propose,1
design,1
cycle,1
redoxcycle,1
note,1
handle,1
cement,1
radio-,1
highlight,1
gap,1
estimate,1
attract,1
suspect,1
matter,1
discriminate,1
do,1
plo,1
infect,1
carcinoma,1
mount,1
acute,1
stage,1
homicide,1
deteriorate,1
maintain,1
microdissecte,1
rule,1
enter,1
range,1
manifest,1
mark,1
astrocytoma,1
strengthen,1
internalize,1
choose,1
look,1
ensure,1
augment,1
exclude,1
modify,1
complement,1
exacerbate,1
assay,1
slow,1
benefit,1
bridge,1
mutate,1
hypermutate,1
raise,1
sample,1
resemble,1
pseudopalisade,1
convert,1
expose,1
experience,1
suppose,1
inoculate,1
conduct,1
outline,1
get,1
aid,1
segment,1
guide,1
specimen,1
transduce,1
inherit,1
gsc)-derive,1
