Title,Abstract,Link
"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""","""Glioblastomas are incurable tumors infiltrating the brain. A subpopulation of glioblastoma cells forms a functional and therapy-resistant tumor cell network interconnected by tumor microtubes (TMs). Other subpopulations appear unconnected, and their biological role remains unclear. Here, we demonstrate that whole-brain colonization is fueled by glioblastoma cells that lack connections with other tumor cells and astrocytes yet receive synaptic input from neurons. This subpopulation corresponds to neuronal and neural-progenitor-like tumor cell states, as defined by single-cell transcriptomics, both in mouse models and in the human disease. Tumor cell invasion resembled neuronal migration mechanisms and adopted a Lévy-like movement pattern of probing the environment. Neuronal activity induced complex calcium signals in glioblastoma cells followed by the de novo formation of TMs and increased invasion speed. Collectively, superimposing molecular and functional single-cell data revealed that neuronal mechanisms govern glioblastoma cell invasion on multiple levels. This explains how glioblastoma's dissemination and cellular heterogeneity are closely interlinked.""",https://pubmed.ncbi.nlm.nih.gov/35914528
"""Multidimensional communication in the microenvirons of glioblastoma.""","""Glioblastomas are heterogeneous and invariably lethal tumours. They are characterized by genetic and epigenetic variations among tumour cells, which makes the development of therapies that eradicate all tumour cells challenging and currently impossible. An important component of glioblastoma growth is communication with and manipulation of other cells in the brain environs, which supports tumour progression and resistance to therapy. Glioblastoma cells recruit innate immune cells and change their phenotype to support tumour growth. Tumour cells also suppress adaptive immune responses, and our increasing understanding of how T cells access the brain and how the tumour thwarts the immune response offers new strategies for mobilizing an antitumour response. Tumours also subvert normal brain cells - including endothelial cells, neurons and astrocytes - to create a microenviron that favours tumour success. Overall, after glioblastoma-induced phenotypic modifications, normal cells cooperate with tumour cells to promote tumour proliferation, invasion of the brain, immune suppression and angiogenesis. This glioblastoma takeover of the brain involves multiple modes of communication, including soluble factors such as chemokines and cytokines, direct cell-cell contact, extracellular vesicles (including exosomes and microvesicles) and connecting nanotubes and microtubes. Understanding these multidimensional communications between the tumour and the cells in its environs could open new avenues for therapy.""",https://pubmed.ncbi.nlm.nih.gov/29985475
"""Glioblastoma revisited: from neuronal-like invasion to pacemaking.""","""In recent years, two developments have helped us to better understand the fundamental biology of glioblastoma: the description of a striking intratumoral heterogeneity including gene expression-based cell states, and the discovery that neuro-cancer interactions and cancer-intrinsic neurodevelopmental mechanisms are fundamental features of glioblastoma. In this opinion article, we aim to integrate both developments. We explain how two key disease features are characterized by different neural mechanisms related to distinct but plastic cancer cell states: first, the single cell-dominated invasive parts and second, the more solid parts which are dominated by communicating cell networks constantly activated by pacemaker-like glioblastoma cells. The resulting integrative roadmap of molecular and functional heterogeneity contributes to the Cancer Neuroscience of glioblastoma and suggests novel therapeutic strategies.""",https://pubmed.ncbi.nlm.nih.gov/37586918
"""Glioblastoma and brain connectivity: the need for a paradigm shift.""","""Despite substantial advances in cancer treatment, for patients with glioblastoma prognosis remains bleak. The emerging field of cancer neuroscience reveals intricate functional interplays between glioblastoma and the cellular architecture of the brain, encompassing neurons, glia, and vessels. New findings underscore the role of structural and functional connections within hierarchical networks, known as the connectome. These connections contribute to the location, spread, and recurrence of a glioblastoma, and a patient's overall survival, revealing a complex interplay between the tumour and the CNS. This mounting evidence prompts a paradigm shift, challenging the perception of glioblastomas as mere foreign bodies within the brain. Instead, these tumours are intricately woven into the structural and functional fabric of the brain. This radical change in thinking holds profound implications for the understanding and treatment of glioblastomas, which could unveil new prognostic factors and surgical strategies and optimise radiotherapy. Additionally, a connectivity approach suggests that non-invasive brain stimulation could disrupt pathological neuron-glioma interactions within specific networks.""",https://pubmed.ncbi.nlm.nih.gov/38876751
"""Glioblastoma quo vadis: Will migration and invasiveness reemerge as therapeutic targets?""","""Purpose: The purpose of the current review is to highlight, on one hand, the fact that the migratory pattern of glioma cells is the major obstacle to combat them with chemotherapy, and on the other one, the new treatment strategies to overcome this obstacle. Methods: This review surveys several membrane and extracellular molecules involved in glioma cell migration, invasiveness and resistance to apoptosis. Results: This review focuses on signaling pathways implicated in the positive regulation of glioblastoma cell migration, including glutamate and ion channel networks, microtubes and membrane-derived extracellular vesicles (EV) containing microRNAs. Glioma cells release glutamate to the extracellular matrix, inducing neuronal cell death, which may facilitate glioma growth and invasion. Glioma cell migration and invasion are further facilitated through ion channels and transporters that modify cellular volume. Microtubes and EV promote connections and communication among glioma cells and with the microenvironment and are associated with progression and resistance to therapy. Potential therapies linked to these pathways for glioblastoma are being developed. Conclusion: Our view is evolving from an intracellular view of the complex intracellular signaling pathways to one of orchestral machinery, including connections between heterogeneous tumoral and nontumoral cells and with the microenvironment through channels, microtubes, and extracellular miRNA, generating different signals at different times. All of these elements give rise to a new perspective for the treatment of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/30032756
"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""","""Background: Glioblastomas are characterized by aggressive and infiltrative growth, and by striking heterogeneity. The aim of this study was to investigate whether tumor cell proliferation and invasion are interrelated, or rather distinct features of different cell populations. Methods: Tumor cell invasion and proliferation were longitudinally determined in real-time using 3D in vivo 2-photon laser scanning microscopy over weeks. Glioblastoma cells expressed fluorescent markers that permitted the identification of their mitotic history or their cycling versus non-cycling cell state. Results: Live reporter systems were established that allowed us to dynamically determine the invasive behavior, and previous or actual proliferation of distinct glioblastoma cells, in different tumor regions and disease stages over time. Particularly invasive tumor cells that migrated far away from the main tumor mass, when followed over weeks, had a history of marked proliferation and maintained their proliferative capacity during brain colonization. Infiltrating cells showed fewer connections to the multicellular tumor cell network, a typical feature of gliomas. Once tumor cells colonized a new brain region, their phenotype progressively transitioned into tumor microtube-rich, interconnected, slower-cycling glioblastoma cells. Analysis of resected human glioblastomas confirmed a higher proliferative potential of tumor cells from the invasion zone. Conclusions: The detection of glioblastoma cells that harbor both particularly high proliferative and invasive capabilities during brain tumor progression provides valuable insights into the interrelatedness of proliferation and migration-2 central traits of malignancy in glioma. This contributes to our understanding of how the brain is efficiently colonized in this disease.""",https://pubmed.ncbi.nlm.nih.gov/37335907
"""Modeling glioblastoma invasion using human brain organoids and single-cell transcriptomics.""","""Background: Glioblastoma (GBM) consists of devastating neoplasms with high invasive capacity, which have been difficult to study in vitro in a human-derived model system. Therapeutic progress is also limited by cellular heterogeneity within and between tumors, among other factors such as therapy resistance. To address these challenges, we present an experimental model using human cerebral organoids as a scaffold for patient-derived GBM cell invasion. Methods: This study combined tissue clearing and confocal microscopy with single-cell RNA sequencing of GBM cells before and after co-culture with organoid cells. Results: We show that tumor cells within organoids extend a network of long microtubes, recapitulating the in vivo behavior of GBM. Transcriptional changes implicated in the invasion process are coherent across patient samples, indicating that GBM cells reactively upregulate genes required for their dispersion. Potential interactions between GBM and organoid cells identified by an in silico receptor-ligand pairing screen suggest functional therapeutic targets. Conclusions: Taken together, our model has proven useful for studying GBM invasion and transcriptional heterogeneity in vitro, with applications for both pharmacological screens and patient-specific treatment selection on a time scale amenable to clinical practice.""",https://pubmed.ncbi.nlm.nih.gov/32297954
"""Elimination of Radiation-Induced Senescence in the Brain Tumor Microenvironment Attenuates Glioblastoma Recurrence.""","""Glioblastomas (GBM) are routinely treated with ionizing radiation (IR) but inevitably recur and develop therapy resistance. During treatment, the tissue surrounding tumors is also irradiated. IR potently induces senescence, and senescent stromal cells can promote the growth of neighboring tumor cells by secreting factors that create a senescence-associated secretory phenotype (SASP). Here, we carried out transcriptomic and tumorigenicity analyses in irradiated mouse brains to elucidate how radiotherapy-induced senescence of non-neoplastic brain cells promotes tumor growth. Following cranial irradiation, widespread senescence in the brain occurred, with the astrocytic population being particularly susceptible. Irradiated brains showed an altered transcriptomic profile characterized by upregulation of CDKN1A (p21), a key enforcer of senescence, and several SASP factors, including HGF, the ligand of the receptor tyrosine kinase (RTK) Met. Preirradiation of mouse brains increased Met-driven growth and invasiveness of orthotopically implanted glioma cells. Importantly, irradiated p21-/- mouse brains did not exhibit senescence and consequently failed to promote tumor growth. Senescent astrocytes secreted HGF to activate Met in glioma cells and to promote their migration and invasion in vitro, which could be blocked by HGF-neutralizing antibodies or the Met inhibitor crizotinib. Crizotinib also slowed the growth of glioma cells implanted in preirradiated brains. Treatment with the senolytic drug ABT-263 (navitoclax) selectively killed senescent astrocytes in vivo, significantly attenuating growth of glioma cells implanted in preirradiated brains. These results indicate that SASP factors in the irradiated tumor microenvironment drive GBM growth via RTK activation, underscoring the potential utility of adjuvant senolytic therapy for preventing GBM recurrence after radiotherapy. SIGNIFICANCE: This study uncovers mechanisms by which radiotherapy can promote GBM recurrence by inducing senescence in non-neoplastic brain cells, suggesting that senolytic therapy can blunt recurrent GBM growth and aggressiveness.""",https://pubmed.ncbi.nlm.nih.gov/34580063
"""Phenocopying Glioblastoma: A Review.""","""The main reason why therapeutic schemes fail in Glioblastoma lies on its own peculiarities as a cancer and on our failure to fully decipher them. Fast tumor evolution, invasiveness and incomplete surgical resection contribute to disease recurrence, therapy resistance and high mortality. More faithful models must be developed to address Glioblastoma biology and better clinical guidance. Research studies are discussed in this review that: i) improve understanding and assessment of the growth mechanisms of Glioblastoma and ii) develop preclinical models (in vitro-in vivo-in silico) that mimic patient's tumor (phenocopying) in order to provide better prediction of response to therapies.""",https://pubmed.ncbi.nlm.nih.gov/34506292
"""Kisspeptin Promotes Glioblastoma Cell Invasiveness Via the Gq-PLC-PKC Pathway.""","""Background/aim: Kisspeptin produced from the KISS1 gene is secreted from the living cells, binds to endogenous receptor KISS1R (also called G protein-coupled receptor 54, GPR54), and has various functions in normal physiological conditions. Although an anti-metastatic role of kisspeptin in cancer is well known in several cancer types, its role in brain tumors is not yet understood. Herein, we investigated a the role of kisspeptin in glioblastoma cells. Materials and methods: Glioblastoma cells were treated with kisspeptin and subjected to proliferation, migration, and invasion assays. KISS1R dependency was tested by KISS1R silencing with KISS1R siRNAs. Results: Kisspeptin inhibited migratory and invasive abilities of U87-MG, U-251-MG and U373-MG glioblastoma cells with no effect on cell viability. KISS1R gene silencing with KISS1R siRNAs blocked kisspeptin-induced glioblastoma cell invasiveness. Moreover, chemical inhibitors against Gq, PLC or PKC blocked kisspeptin-induced glioblastoma cell invasiveness. Conclusion: Kisspeptin induces glioblastoma cell invasiveness via the KISS1R-Gq-PLC-PKC signaling pathway.""",https://pubmed.ncbi.nlm.nih.gov/31892569
