Source,Text,Link,Verb,Original_Form,Context
Title,"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""",https://pubmed.ncbi.nlm.nih.gov/35914528,hijack,hijacks,glioblastoma hijacks neuronal mechanisms for brain invasion.
Abstract,"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""",https://pubmed.ncbi.nlm.nih.gov/35914528,infiltrate,infiltrating,glioblastomas are incurable tumors infiltrating the brain.
Abstract,"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""",https://pubmed.ncbi.nlm.nih.gov/35914528,form,forms,subpopulation of glioblastoma cells forms a functional and therapy-resistant tumor
Abstract,"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""",https://pubmed.ncbi.nlm.nih.gov/35914528,lack,lack,fueled by glioblastoma cells that lack connections with other tumor cells and
Abstract,"""Glioblastoma hijacks neuronal mechanisms for brain invasion.""",https://pubmed.ncbi.nlm.nih.gov/35914528,follow,followed,signals in glioblastoma cells followed by the de novo formation of tms
Abstract,"""Multidimensional communication in the microenvirons of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/29985475,recruit,recruit,glioblastoma cells recruit innate immune cells and change their phenotype
Abstract,"""Multidimensional communication in the microenvirons of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/29985475,induce,induced,", after glioblastoma-induced phenotypic modifications, normal cells cooperate with"
Abstract,"""Multidimensional communication in the microenvirons of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/29985475,involve,involves,this glioblastoma takeover of the brain involves multiple modes of communication
Title,"""Glioblastoma revisited: from neuronal-like invasion to pacemaking.""",https://pubmed.ncbi.nlm.nih.gov/37586918,revisit,revisited,glioblastoma revisited: from neuronal-like invasion to pacemaking
Abstract,"""Glioblastoma revisited: from neuronal-like invasion to pacemaking.""",https://pubmed.ncbi.nlm.nih.gov/37586918,include,including,biology of glioblastoma: the description of a striking intratumoral heterogeneity including
Abstract,"""Glioblastoma revisited: from neuronal-like invasion to pacemaking.""",https://pubmed.ncbi.nlm.nih.gov/37586918,suggest,suggests,neuroscience of glioblastoma and suggests novel therapeutic strategies.
Abstract,"""Glioblastoma and brain connectivity: the need for a paradigm shift.""",https://pubmed.ncbi.nlm.nih.gov/38876751,remain,remains,patients with glioblastoma prognosis remains bleak.
Abstract,"""Glioblastoma and brain connectivity: the need for a paradigm shift.""",https://pubmed.ncbi.nlm.nih.gov/38876751,encompass,encompassing,"interplays between glioblastoma and the cellular architecture of the brain, encompassing"
Abstract,"""Glioblastoma and brain connectivity: the need for a paradigm shift.""",https://pubmed.ncbi.nlm.nih.gov/38876751,reveal,revealing,"of a glioblastoma, and a patient's overall survival, revealing"
Abstract,"""Glioblastoma and brain connectivity: the need for a paradigm shift.""",https://pubmed.ncbi.nlm.nih.gov/38876751,unveil,unveil,"treatment of glioblastomas, which could unveil new prognostic factors and surgical"
Title,"""Glioblastoma quo vadis: Will migration and invasiveness reemerge as therapeutic targets?""",https://pubmed.ncbi.nlm.nih.gov/30032756,migration,migration,glioblastoma quo vadis: will migration and invasiveness reemerge as
Abstract,"""Glioblastoma quo vadis: Will migration and invasiveness reemerge as therapeutic targets?""",https://pubmed.ncbi.nlm.nih.gov/30032756,include,including,"regulation of glioblastoma cell migration, including glutamate and ion channel networks"
Abstract,"""Glioblastoma quo vadis: Will migration and invasiveness reemerge as therapeutic targets?""",https://pubmed.ncbi.nlm.nih.gov/30032756,develop,developed,pathways for glioblastoma are being developed.
Title,"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""",https://pubmed.ncbi.nlm.nih.gov/37335907,harbor,harbor,individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor
Abstract,"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""",https://pubmed.ncbi.nlm.nih.gov/37335907,characterize,characterized,"background: glioblastomas are characterized by aggressive and infiltrative growth, and"
Abstract,"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""",https://pubmed.ncbi.nlm.nih.gov/37335907,express,expressed,glioblastoma cells expressed fluorescent markers that permitted the identification of
Abstract,"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""",https://pubmed.ncbi.nlm.nih.gov/37335907,confirm,confirmed,resected human glioblastomas confirmed a higher proliferative potential of tumor cells from
Abstract,"""Individual glioblastoma cells harbor both proliferative and invasive capabilities during tumor progression.""",https://pubmed.ncbi.nlm.nih.gov/37335907,harbor,harbor,detection of glioblastoma cells that harbor both particularly high proliferative and invasive
Title,"""Modeling glioblastoma invasion using human brain organoids and single-cell transcriptomics.""",https://pubmed.ncbi.nlm.nih.gov/32297954,use,using,modeling glioblastoma invasion using human brain organoids and single-cell
Abstract,"""Modeling glioblastoma invasion using human brain organoids and single-cell transcriptomics.""",https://pubmed.ncbi.nlm.nih.gov/32297954,consist,consists,background: glioblastoma (gbm) consists of devastating neoplasms with high
Abstract,"""Elimination of Radiation-Induced Senescence in the Brain Tumor Microenvironment Attenuates Glioblastoma Recurrence.""",https://pubmed.ncbi.nlm.nih.gov/34580063,treat,treated,glioblastomas (gbm) are routinely treated with ionizing radiation
Abstract,"""Phenocopying Glioblastoma: A Review.""",https://pubmed.ncbi.nlm.nih.gov/34506292,lie,lies,fail in glioblastoma lies on its own peculiarities as a cancer and
Abstract,"""Phenocopying Glioblastoma: A Review.""",https://pubmed.ncbi.nlm.nih.gov/34506292,develop,develop,mechanisms of glioblastoma and ii) develop preclinical models (in vitro
