Verb,count
use,45
remain,40
target,34
have,34
associate,30
express,29
characterize,28
suggest,27
compare,26
promote,24
treat,23
regulate,22
investigate,22
show,21
inhibit,21
derive,17
induce,17
invasiveness,15
correlate,14
signal,14
include,14
reveal,14
exhibit,13
contain,13
represent,12
suppress,12
know,12
provide,11
transfecte,11
identify,11
increase,10
invade,10
contribute,9
affect,9
activate,9
find,9
involve,9
relate,8
reduce,8
analyze,7
enhance,7
determine,7
cause,7
mediate,7
obtain,7
initiate,7
occur,7
xenografte,6
follow,6
study,6
develop,6
secrete,6
evaluate,6
lead,6
overexpresse,6
limit,5
need,5
elucidate,5
modulate,5
understand,5
result,5
detect,5
present,5
specimen,5
enable,5
establish,5
consider,5
harbor,5
downregulate,5
explore,4
examine,4
assess,4
characterise,4
continue,4
underlie,4
stimulate,4
play,4
interact,4
indicate,4
lack,4
drive,4
neutralize,4
make,4
base,4
allow,4
attribute,4
undergo,4
surround,4
support,3
repress,3
elevate,3
ionize,3
degrade,3
upregulate,3
require,3
demonstrate,3
depend,3
arise,3
observe,3
highlight,3
respond,3
compose,3
stain,3
propose,3
accord,3
implant,3
combine,3
define,3
carry,3
analyse,3
recapitulate,3
measure,3
implicate,3
hijack,3
grow,3
form,3
confer,3
classify,3
reside,3
focus,3
survive,3
employ,3
design,3
confirm,3
perform,3
act,3
offer,3
fail,3
tumorsphere,2
proliferate,2
serve,2
generate,2
add,2
experience,2
regard,2
grade,2
recruit,2
explain,2
attenuate,2
diagnose,2
conduct,2
sustain,2
operate,2
complete,2
appear,2
vary,2
assay,2
predict,2
escape,2
give,2
astrocyte,2
accompany,2
utilize,2
spread,2
eliminate,2
rely,2
expose,2
quantify,2
decrease,2
achieve,2
adopt,2
bear,2
test,2
infiltrate,2
lose,2
prove,2
select,2
contrast,2
radio-,2
do,2
isolate,2
open,2
think,2
orchestrate,2
transplant,2
display,2
take,2
estimate,2
migration,1
depict,1
diffuse,1
iv,1
round,1
assemble,1
recur,1
communicate,1
unveil,1
optimize,1
knockdowne,1
underscore,1
encompass,1
revisit,1
exert,1
pinpoint,1
produce,1
deplete,1
irradiate,1
repopulate,1
restore,1
participate,1
consist,1
kinase,1
receive,1
stand,1
start,1
be,1
kill,1
penetrate,1
originate,1
image,1
mimic,1
organoid,1
relapse,1
cyclooxygenase,1
correspond,1
recurrence,1
temozolomide,1
harbour,1
confront,1
facilitate,1
arm,1
die,1
laminin,1
randomize,1
pcnsl,1
presume,1
mean,1
shuttle,1
phosphorylate,1
diminish,1
overlap,1
assign,1
function,1
direct,1
compromise,1
embed,1
implement,1
reverse,1
suppose,1
transform,1
belong,1
report,1
excise,1
distinguish,1
silence,1
abrogate,1
overcome,1
co,1
dominate,1
disorganize,1
expect,1
cluster,1
hinder,1
extract,1
alter,1
possess,1
defy,1
create,1
label,1
accumulate,1
localize,1
designate,1
incubate,1
multimodal,1
impair,1
influence,1
validate,1
recognize,1
organize,1
prolong,1
let,1
seem,1
arrest,1
potentiate,1
attach,1
exist,1
retain,1
knock,1
colonize,1
metastasize,1
account,1
dictate,1
deserve,1
link,1
underpin,1
plo,1
rescue,1
entail,1
leave,1
prepare,1
improve,1
refer,1
enrich,1
license,1
evoke,1
inject,1
lie,1
apply,1
preculture,1
slow,1
impact,1
reproduce,1
capture,1
reflect,1
uncover,1
conclude,1
verify,1
accomplish,1
sphere,1
debulke,1
dehydrogenase,1
review,1
modify,1
tend,1
preserve,1
distribute,1
impede,1
prevent,1
amplify,1
mutate,1
cooperate,1
decellularize,1
abolish,1
debate,1
propagate,1
tumor,1
coat,1
extend,1
exploit,1
categorize,1
plate,1
guide,1
evolve,1
subject,1
benefit,1
differentiate,1
describe,1
discuss,1
