Title,Abstract,Link
"""Molecular Mechanisms of Treatment Resistance in Glioblastoma.""","""Glioblastoma is the most common malignant primary brain tumor in adults and is almost invariably fatal. Despite our growing understanding of the various mechanisms underlying treatment failure, the standard-of-care therapy has not changed over the last two decades, signifying a great unmet need. The challenges of treating glioblastoma are many and include inadequate drug or agent delivery across the blood-brain barrier, abundant intra- and intertumoral heterogeneity, redundant signaling pathways, and an immunosuppressive microenvironment. Here, we review the innate and adaptive molecular mechanisms underlying glioblastoma's treatment resistance, emphasizing the intrinsic challenges therapeutic interventions must overcome-namely, the blood-brain barrier, tumoral heterogeneity, and microenvironment-and the mechanisms of resistance to conventional treatments, targeted therapy, and immunotherapy.""",https://pubmed.ncbi.nlm.nih.gov/33396284
"""Revolutionizing Glioblastoma Treatment: A Comprehensive Overview of Modern Therapeutic Approaches.""","""Glioblastoma is the most common malignant primary brain tumor in the adult population, with an average survival of 12.1 to 14.6 months. The standard treatment, combining surgery, radiotherapy, and chemotherapy, is not as efficient as we would like. However, the current possibilities are no longer limited to the standard therapies due to rapid advancements in biotechnology. New methods enable a more precise approach by targeting individual cells and antigens to overcome cancer. For the treatment of glioblastoma, these are gamma knife therapy, proton beam therapy, tumor-treating fields, EGFR and VEGF inhibitors, multiple RTKs inhibitors, and PI3K pathway inhibitors. In addition, the increasing understanding of the role of the immune system in tumorigenesis and the ability to identify tumor-specific antigens helped to develop immunotherapies targeting GBM and immune cells, including CAR-T, CAR-NK cells, dendritic cells, and immune checkpoint inhibitors. Each of the described methods has its advantages and disadvantages and faces problems, such as the inefficient crossing of the blood-brain barrier, various neurological and systemic side effects, and the escape mechanism of the tumor. This work aims to present the current modern treatments of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38891962
"""Recurrent Glioblastoma-Molecular Underpinnings and Evolving Treatment Paradigms.""","""Glioblastoma is the most common and lethal central nervous system malignancy with a median survival after progression of only 6-9 months. Major biochemical mechanisms implicated in glioblastoma recurrence include aberrant molecular pathways, a recurrence-inducing tumor microenvironment, and epigenetic modifications. Contemporary standard-of-care (surgery, radiation, chemotherapy, and tumor treating fields) helps to control the primary tumor but rarely prevents relapse. Cytoreductive treatment such as surgery has shown benefits in recurrent glioblastoma; however, its use remains controversial. Several innovative treatments are emerging for recurrent glioblastoma, including checkpoint inhibitors, chimeric antigen receptor T cell therapy, oncolytic virotherapy, nanoparticle delivery, laser interstitial thermal therapy, and photodynamic therapy. This review seeks to provide readers with an overview of (1) recent discoveries in the molecular basis of recurrence; (2) the role of surgery in treating recurrence; and (3) novel treatment paradigms emerging for recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/38928445
"""Glioblastoma multiforme: Pathogenesis and treatment.""","""Each year, about 5-6 cases out of 100,000 people are diagnosed with primary malignant brain tumors, of which about 80% are malignant gliomas (MGs). Glioblastoma multiforme (GBM) accounts for more than half of MG cases. They are associated with high morbidity and mortality. Despite current multimodality treatment efforts including maximal surgical resection if feasible, followed by a combination of radiotherapy and/or chemotherapy, the median survival is short: only about 15months. A deeper understanding of the pathogenesis of these tumors has presented opportunities for newer therapies to evolve and an expectation of better control of this disease. Lately, efforts have been made to investigate tumor resistance, which results from complex alternate signaling pathways, the existence of glioma stem-cells, the influence of the blood-brain barrier as well as the expression of 0(6)-methylguanine-DNA methyltransferase. In this paper, we review up-to-date information on MGs treatment including current approaches, novel drug-delivering strategies, molecular targeted agents and immunomodulative treatments, and discuss future treatment perspectives.""",https://pubmed.ncbi.nlm.nih.gov/25944528
"""Glioblastoma and Other Primary Brain Malignancies in Adults: A Review.""","""Importance: Malignant primary brain tumors cause more than 15 000 deaths per year in the United States. The annual incidence of primary malignant brain tumors is approximately 7 per 100 000 individuals and increases with age. Five-year survival is approximately 36%. Observations: Approximately 49% of malignant brain tumors are glioblastomas, and 30% are diffusely infiltrating lower-grade gliomas. Other malignant brain tumors include primary central nervous system (CNS) lymphoma (7%) and malignant forms of ependymomas (3%) and meningiomas (2%). Symptoms of malignant brain tumors include headache (50%), seizures (20%-50%), neurocognitive impairment (30%-40%), and focal neurologic deficits (10%-40%). Magnetic resonance imaging before and after a gadolinium-based contrast agent is the preferred imaging modality for evaluating brain tumors. Diagnosis requires tumor biopsy with consideration of histopathological and molecular characteristics. Treatment varies by tumor type and often includes a combination of surgery, chemotherapy, and radiation. For patients with glioblastoma, the combination of temozolomide with radiotherapy improved survival when compared with radiotherapy alone (2-year survival, 27.2% vs 10.9%; 5-year survival, 9.8% vs 1.9%; hazard ratio [HR], 0.6 [95% CI, 0.5-0.7]; P < .001). In patients with anaplastic oligodendroglial tumors with 1p/19q codeletion, probable 20-year overall survival following radiotherapy without vs with the combination of procarbazine, lomustine, and vincristine was 13.6% vs 37.1% (80 patients; HR, 0.60 [95% CI, 0.35-1.03]; P = .06) in the EORTC 26951 trial and 14.9% vs 37% in the RTOG 9402 trial (125 patients; HR, 0.61 [95% CI, 0.40-0.94]; P = .02). Treatment of primary CNS lymphoma includes high-dose methotrexate-containing regimens, followed by consolidation therapy with myeloablative chemotherapy and autologous stem cell rescue, nonmyeloablative chemotherapy regimens, or whole brain radiation. Conclusions and relevance: The incidence of primary malignant brain tumors is approximately 7 per 100 000 individuals, and approximately 49% of primary malignant brain tumors are glioblastomas. Most patients die from progressive disease. First-line therapy for glioblastoma is surgery followed by radiation and the alkylating chemotherapeutic agent temozolomide.""",https://pubmed.ncbi.nlm.nih.gov/36809318
"""Medicinal Plants for Glioblastoma Treatment.""","""Glioblastoma, an aggressive brain cancer, demonstrates the least life expectancy among all brain cancers. Because of the regulation of diverse signaling pathways in cancers, the chemotherapeutic approaches used to suppress their multiplication and spread are restricted. Sensitivity towards chemotherapeutic agents has been developed because of the pathological and drug-evading abilities of these diverse mechanisms. As a result, the identification and exploration of strategies or treatments, which can overcome such refractory obstacles to improve glioblastoma response to treatment as well as recovery, is essential. Medicinal herbs contain a wide variety of bioactive compounds, which could trigger aggressive brain cancers, regulate their anti-cancer mechanisms and immune responses to assist in cancer elimination, and cause cell death. Numerous tumor-causing proteins, which facilitate invasion as well as metastasis of cancer, tolerance of chemotherapies, and angiogenesis, are also inhibited by these phytochemicals. Such herbs remain valuable for glioblastoma prevention and its incidence by effectively being used as anti-glioma therapies. This review thus presents the latest findings on medicinal plants using which the extracts or bioactive components are being used against glioblastoma, their mechanism of functioning, pharmacological description, and recent clinical studies conducted on them.""",https://pubmed.ncbi.nlm.nih.gov/34939551
"""Molecular targeted therapy of glioblastoma.""","""Glioblastomas are intrinsic brain tumors thought to originate from neuroglial stem or progenitor cells. More than 90% of glioblastomas are isocitrate dehydrogenase (IDH)-wildtype tumors. Incidence increases with age, males are more often affected. Beyond rare instances of genetic predisposition and irradiation exposure, there are no known glioblastoma risk factors. Surgery as safely feasible followed by involved-field radiotherapy plus concomitant and maintenance temozolomide chemotherapy define the standard of care since 2005. Except for prolonged progression-free, but not overall survival afforded by the vascular endothelial growth factor antibody, bevacizumab, no pharmacological intervention has been demonstrated to alter the course of disease. Specifically, targeting cellular pathways frequently altered in glioblastoma, such as the phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT)/mammalian target of rapamycin (mTOR), the p53 and the retinoblastoma (RB) pathways, or epidermal growth factor receptor (EGFR) gene amplification or mutation, have failed to improve outcome, likely because of redundant compensatory mechanisms, insufficient target coverage related in part to the blood brain barrier, or poor tolerability and safety. Yet, uncommon glioblastoma subsets may exhibit specific vulnerabilities amenable to targeted interventions, including, but not limited to: high tumor mutational burden, BRAF mutation, neurotrophic tryrosine receptor kinase (NTRK) or fibroblast growth factor receptor (FGFR) gene fusions, and MET gene amplification or fusions. There is increasing interest in targeting not only the tumor cells, but also the microenvironment, including blood vessels, the monocyte/macrophage/microglia compartment, or T cells. Improved clinical trial designs using pharmacodynamic endpoints in enriched patient populations will be required to develop better treatments for glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31541850
"""Focused ultrasound for the treatment of glioblastoma.""","""Purpose: Six years ago, in 2015, the Focused Ultrasound Foundation sponsored a workshop to discuss, and subsequently transition the landscape, of focused ultrasound as a new therapy for treating glioblastoma. Methods: This year, in 2021, a second workshop was held to review progress made in the field. Discussion topics included blood-brain barrier opening, thermal and nonthermal tumor ablation, immunotherapy, sonodynamic therapy, and desired focused ultrasound device improvements. Results: The outcome of the 2021 workshop was the creation of a new roadmap to address knowledge gaps and reduce the time it takes for focused ultrasound to become part of the treatment armamentarium and reach clinical adoption for the treatment of patients with glioblastoma. Priority projects identified in the roadmap include determining a well-defined algorithm to confirm and quantify drug delivery following blood-brain barrier opening, identifying a focused ultrasound-specific microbubble, exploring the role of focused ultrasound for liquid biopsy in glioblastoma, and making device modifications that better support clinical needs. Conclusion: This article reviews the key preclinical and clinical updates from the workshop, outlines next steps to research, and provides relevant references for focused ultrasound in the treatment of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/35267132
"""Overcoming the blood-brain tumor barrier for effective glioblastoma treatment.""","""Gliomas are the most common primary brain tumors. Particularly in adult patients, the vast majority of gliomas belongs to the heterogeneous group of diffuse gliomas, i.e. glial tumors characterized by diffuse infiltrative growth in the preexistent brain tissue. Unfortunately, glioblastoma, the most aggressive (WHO grade IV) diffuse glioma is also by far the most frequent one. After standard treatment, the 2-year overall survival of glioblastoma patients is approximately only 25%. Advanced knowledge in the molecular pathology underlying malignant transformation has offered new handles and better treatments for several cancer types. Unfortunately, glioblastoma multiforme (GBM) patients have not yet profited as although numerous experimental drugs have been tested in clinical trials, all failed miserably. This grim prognosis for GBM is at least partly due to the lack of successful drug delivery across the blood-brain tumor barrier (BBTB). The human brain comprises over 100 billion capillaries with a total length of 400 miles, a total surface area of 20 m(2) and a median inter-capillary distance of about 50 μm, making it the best perfused organ in the body. The BBTB encompasses existing and newly formed blood vessels that contribute to the delivery of nutrients and oxygen to the tumor and facilitate glioma cell migration to other parts of the brain. The high metabolic demands of high-grade glioma create hypoxic areas that trigger increased expression of VEGF and angiogenesis, leading to the formation of abnormal vessels and a dysfunctional BBTB. Even though the BBTB is considered 'leaky' in the core part of glioblastomas, in large parts of glioblastomas and, even more so, in lower grade diffuse gliomas the BBTB more closely resembles the intact blood-brain barrier (BBB) and prevents efficient passage of cancer therapeutics, including small molecules and antibodies. Thus, many drugs can still be blocked from reaching the many infiltrative glioblastoma cells that demonstrate 'within-organ-metastasis' away from the core part to brain areas displaying a more organized and less leaky BBTB. Hence, drug delivery in glioblastoma deserves explicit attention as otherwise new experimental therapies will continue to fail. In the current review we highlight different aspects of the BBTB in glioma patients and preclinical models and discuss the advantages and drawbacks of drug delivery approaches for the treatment of glioma patients. We provide an overview on methods to overcome the BBTB, including osmotic blood-brain barrier disruption (BBBD), bradykinin receptor-mediated BBTB opening, inhibition of multidrug efflux transporters, receptor-mediated transport systems and physiological circumvention of the BBTB. While our knowledge about the molecular biology of glioma cells is rapidly expanding and is, to some extent, already assisting us in the design of tumor-tailored therapeutics, we are still struggling to develop modalities to expose the entire tumor to such therapeutics at pharmacologically meaningful quantities. Therefore, we must expand our knowledge about the fundamentals of the BBTB as a step toward the design of practical and safe devices and approaches for enhanced drug delivery into the diseased brain area.""",https://pubmed.ncbi.nlm.nih.gov/25791797
"""Novel Therapies in Glioblastoma Treatment: Review of Glioblastoma; Current Treatment Options; and Novel Oncolytic Viral Therapies.""","""One of the most prevalent primary malignant brain tumors is glioblastoma (GB). About 6 incidents per 100,000 people are reported annually. Most frequently, these tumors are linked to a poor prognosis and poor quality of life. There has been little advancement in the treatment of GB. In recent years, some innovative medicines have been tested for the treatment of newly diagnosed cases of GB and recurrent cases of GB. Surgery, radiotherapy, and alkylating chemotherapy are all common treatments for GB. A few of the potential alternatives include immunotherapy, tumor-treating fields (TTFs), and medications that target specific cellular receptors. To provide new multimodal therapies that focus on the molecular pathways implicated in tumor initiation and progression in GB, novel medications, delivery technologies, and immunotherapy approaches are being researched. Of these, oncolytic viruses (OVs) are among the most recent. Coupling OVs with certain modern treatment approaches may have significant benefits for GB patients. Here, we discuss several OVs and how they work in conjunction with other therapies, as well as virotherapy for GB. The study was based on the PRISMA guidelines. Systematic retrieval of information was performed on PubMed. A total of 307 articles were found in a search on oncolytic viral therapies for glioblastoma. Out of these 83 articles were meta-analyses, randomized controlled trials, reviews, and systematic reviews. A total of 42 articles were from the years 2018 to 2023. Appropriate studies were isolated, and important information from each of them was understood and entered into a database from which the information was used in this article. One of the most prevalent malignant brain tumors is still GB. Significant promise and opportunity exist for oncolytic viruses in the treatment of GB and in boosting immune response. Making the most of OVs in the treatment of GB requires careful consideration and evaluation of a number of its application factors.""",https://pubmed.ncbi.nlm.nih.gov/38249077
