Source,Text,Link,Verb,Original_Form,Context
Abstract,"""Molecular Mechanisms of Treatment Resistance in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/33396284,include,include,of treating glioblastoma are many and include inadequate drug or agent delivery
Abstract,"""Molecular Mechanisms of Treatment Resistance in Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/33396284,emphasize,emphasizing,"mechanisms underlying glioblastoma's treatment resistance, emphasizing the intrinsic challenges therapeutic"
Title,"""Recurrent Glioblastoma-Molecular Underpinnings and Evolving Treatment Paradigms.""",https://pubmed.ncbi.nlm.nih.gov/38928445,evolve,evolving,recurrent glioblastoma-molecular underpinnings and evolving treatment paradigms.
Abstract,"""Recurrent Glioblastoma-Molecular Underpinnings and Evolving Treatment Paradigms.""",https://pubmed.ncbi.nlm.nih.gov/38928445,include,include,"implicated in glioblastoma recurrence include aberrant molecular pathways, a recurrence-"
Abstract,"""Recurrent Glioblastoma-Molecular Underpinnings and Evolving Treatment Paradigms.""",https://pubmed.ncbi.nlm.nih.gov/38928445,remain,remains,"in recurrent glioblastoma; however, its use remains controversial."
Abstract,"""Recurrent Glioblastoma-Molecular Underpinnings and Evolving Treatment Paradigms.""",https://pubmed.ncbi.nlm.nih.gov/38928445,include,including,"for recurrent glioblastoma, including checkpoint inhibitors, chimeric antigen receptor t"
Abstract,"""Glioblastoma multiforme: Pathogenesis and treatment.""",https://pubmed.ncbi.nlm.nih.gov/25944528,account,accounts,glioblastoma multiforme (gbm) accounts for more than half
Abstract,"""Glioblastoma and Other Primary Brain Malignancies in Adults: A Review.""",https://pubmed.ncbi.nlm.nih.gov/36809318,infiltrate,infiltrating,"tumors are glioblastomas, and 30% are diffusely infiltrating lower-"
Abstract,"""Glioblastoma and Other Primary Brain Malignancies in Adults: A Review.""",https://pubmed.ncbi.nlm.nih.gov/36809318,improve,improved,"patients with glioblastoma, the combination of temozolomide with radiotherapy improved survival"
Abstract,"""Glioblastoma and Other Primary Brain Malignancies in Adults: A Review.""",https://pubmed.ncbi.nlm.nih.gov/36809318,follow,followed,therapy for glioblastoma is surgery followed by radiation and the alkylating chemotherapeutic
Abstract,"""Medicinal Plants for Glioblastoma Treatment.""",https://pubmed.ncbi.nlm.nih.gov/34939551,demonstrate,demonstrates,"glioblastoma, an aggressive brain cancer, demonstrates the least"
Abstract,"""Medicinal Plants for Glioblastoma Treatment.""",https://pubmed.ncbi.nlm.nih.gov/34939551,use,used,valuable for glioblastoma prevention and its incidence by effectively being used as
Abstract,"""Molecular targeted therapy of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31541850,think,thought,glioblastomas are intrinsic brain tumors thought to originate from neuroglial
