Title,Abstract,Link,Disease_Verbs
Glioblastoma,Glioblastoma is the most aggressive and the most common primary malignant brain tumor in  adults. Risk factors for glioblastoma are  Standard treatment of glioblastoma comprises the,https://link.springer.com/chapter/10.1007/978-3-319-49864-5_18,['comprises']
The definition of primary and secondary glioblastoma,in secondary glioblastomas; EGF receptor (EGFR) overexpression prevailed in primary  glioblastomas but was rare in secondary glioblastomas. Only 1 of 49 glioblastomas showed,https://aacrjournals.org/clincancerres/article-abstract/19/4/764/78094,"['showed', 'prevailed']"
Management of glioblastoma: State of the art and future directions,Glioblastoma is the most common malignant primary brain  The recently revised classification  of glioblastoma based on  ultimately improve the outcome of patients with glioblastoma.,https://acsjournals.onlinelibrary.wiley.com/doi/abs/10.3322/caac.21613,"['improve', 'based', 'revised']"
Glioblastoma in adults,"Glioblastoma (GBM) is the most malignant among astrocytic tumours and is associated with  a poor prognosis. Age, performance status, mini-mental status examination score,",https://www.sciencedirect.com/science/article/pii/S1040842808000450,['associated']
Current challenges and opportunities in treating glioblastoma,"Glioblastoma multiforme (GBM), the most common and aggressive primary brain tumor, has  a high mortality rate despite extensive efforts to develop new treatments. GBM exhibits both",https://pharmrev.aspetjournals.org/content/70/3/412.short,"['has', 'develop']"
Adult glioblastoma,"Glioblastoma (GBM) is a rare tumor and one of the most challenging malignancies to treat in  all of oncology. Although advances have been made in the treatment of GBM, encouraging",https://ascopubs.org/doi/abs/10.1200/JCO.2017.73.0119,['treat']
Treatment of glioblastoma,"Glioblastoma is the most common and most aggressive form  improvement in survival in  glioblastoma. This review discusses  of newly diagnosed and recurrent glioblastoma, as well as",https://ascopubs.org/doi/abs/10.1200/jop.2017.025536,"['discusses', 'diagnosed']"
Epidemiology and outcome of glioblastoma,"Glioblastoma (GBM) is the most aggressive malignant primary brain tumor. With an incidence  rate of 3.19 per 100,000 persons in the United States and a median age of 64 years, it is",https://exonpublications.com/index.php/exon/article/view/130,[]
Genetic pathways to primary and secondary glioblastoma,"During progression to glioblastoma, additional mutations accumulate, including loss of  in  both primary and secondary glioblastomas. Primary and secondary glioblastomas also differ",https://www.sciencedirect.com/science/article/pii/S0002944010613582,"['including', 'accumulate', 'differ']"
Glioblastoma multiforme–an overview,"Over 90% of diagnosed glioblastomas multiforme cases are primary gliomas,  glioblastomas  formation differ, morphologically they do not reveal any significant differences. Glioblastoma","https://www.termedia.pl/Glioblastoma-multiforme-an-overview,3,22235,0,1.html","['diagnosed', 'reveal', 'differ']"
"Glioblastoma: clinical presentation, diagnosis, and management","Glioblastoma is the most common primary brain cancer.  and rapidly progressive nature of  glioblastoma, close collaboration  Glioblastoma is the most common primary brain cancer in",https://www.bmj.com/content/374/bmj.n1560.short,[]
Immunotherapeutic advancements for glioblastoma,"Immunotherapy seeks to improve the body’s immune response to a tumor. Currently, the  principal mechanisms employed are: (1) to improve an aspect of the immune response (eg, T",https://www.frontiersin.org/articles/10.3389/fonc.2015.00012/full,[]
Glioblastoma: overview of disease and treatment,Background Glioblastoma (GBM) is the most common and aggressive malignant brain  tumor in adults. Current treatment options at diagnosis are multimodal and include surgical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5123811/,[]
"Glioblastoma: pathology, molecular mechanisms and markers",Recent advances in genomic technology have led to a better understanding of key molecular  alterations that underlie glioblastoma (GBM). The current WHO-based classification of,https://link.springer.com/article/10.1007/s00401-015-1432-1,['led']
How we treat glioblastoma,"Furthermore, classical glioblastoma does not exhibit  no longer be labelled glioblastomas  in future revisions of the  criteria of glioblastoma as tumours equivalent to glioblastoma, for",https://www.sciencedirect.com/science/article/pii/S2059702920326120,"['labelled', 'glioblastoma', 'exhibit']"
Genetic pathways to glioblastoma: a population-based study,"We conducted a population-based study on glioblastomas in the Canton of Zurich, Switzerland  (population, 1.16 million) to determine the frequency of major genetic alterations and",https://aacrjournals.org/cancerres/article-abstract/64/19/6892/511738,"['conducted', 'based', 'determine']"
Recent advances in the molecular understanding of glioblastoma,"These primary glioblastomas present in elderly patients with a brief clinical history and are   to secondary glioblastoma. A secondary glioblastoma occurs in ~5% of glioblastoma patients,",https://link.springer.com/article/10.1007/s11060-011-0793-0,['occurs']
Multidimensional communication in the microenvirons of glioblastoma,"properties of human glioblastoma (Box 1), especially regarding the analysis of glioblastoma   , evidence increasingly demonstrates that glioblastoma is genetically heterogeneous (Box 2",https://www.nature.com/articles/s41582-018-0025-8,"['regarding', 'demonstrates']"
Current concepts and management of glioblastoma,Glioblastoma is  of glioblastoma patients with a focus on the management of common  symptoms and complications. We aim to provide a guide for clinicians confronted with glioblastoma,https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.22425,"['aim', 'provide', 'confronted']"
Glioblastoma and other malignant gliomas: a clinical review,"Importance Glioblastomas and malignant gliomas are the most common primary malignant  brain tumors, with an annual incidence of 5.26 per 100 000 population or 17 000 new",https://jamanetwork.com/journals/jama/article-abstract/1764056,[]
Current state of immunotherapy for glioblastoma,"-based therapeutic approaches for glioblastoma. Nevertheless, a range  for gliomas,  notably glioblastoma, the implications for  , and future directions for glioblastoma immuno-oncology.",https://www.nature.com/articles/s41571-018-0003-5,['-based']
