Source,Text,Link,Verb,Original_Form,Context
Abstract,"""Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26948367,refer,refers,'secondary glioblastoma' refers to a minority of glioblastomas that evolve
Abstract,"""Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26948367,evolve,evolve,minority of glioblastomas that evolve from previously diagnosed who grade ii or
Abstract,"""Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26948367,include,include,changes in glioblastoma include mutations in genes regulating receptor tyrosine kinase (
Abstract,"""Glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/26948367,include,includes,"treatment of glioblastoma includes surgery, radiotherapy, and alkylating chemotherapy."
Abstract,"""Molecular targeted therapy of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31541850,think,thought,glioblastomas are intrinsic brain tumors thought to originate from neuroglial
Abstract,"""Molecular targeted therapy of glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/31541850,exhibit,exhibit,", uncommon glioblastoma subsets may exhibit specific vulnerabilities amenable to targeted interventions"
Abstract,"""A Patient-Derived Glioblastoma Organoid Model and Biobank Recapitulates Inter- and Intra-tumoral Heterogeneity.""",https://pubmed.ncbi.nlm.nih.gov/31883794,exhibit,exhibit,"glioblastomas exhibit vast inter- and intra-tumoral heterogeneity,"
Abstract,"""A Patient-Derived Glioblastoma Organoid Model and Biobank Recapitulates Inter- and Intra-tumoral Heterogeneity.""",https://pubmed.ncbi.nlm.nih.gov/31883794,recapitulate,recapitulate,-derived glioblastoma organoids (gbos) that recapitulate the histological features
Abstract,"""A Patient-Derived Glioblastoma Organoid Model and Biobank Recapitulates Inter- and Intra-tumoral Heterogeneity.""",https://pubmed.ncbi.nlm.nih.gov/31883794,deploy,deployed,features of glioblastomas and can be rapidly deployed to investigate patient-
Abstract,"""Glioblastoma and other malignant gliomas: a clinical review.""",https://pubmed.ncbi.nlm.nih.gov/24193082,base,based,newly diagnosed glioblastoma is based on radiotherapy combined with temozolomide.
Abstract,"""Glioblastoma and other malignant gliomas: a clinical review.""",https://pubmed.ncbi.nlm.nih.gov/24193082,remain,remains,"relevance: glioblastoma remains a difficult cancer to treat, although therapeutic"
Title,"""Recent Developments in Glioblastoma Therapy: Oncolytic Viruses and Emerging Future Strategies.""",https://pubmed.ncbi.nlm.nih.gov/36851761,emerge,emerging,developments in glioblastoma therapy: oncolytic viruses and emerging future strategies.
Abstract,"""Recent Developments in Glioblastoma Therapy: Oncolytic Viruses and Emerging Future Strategies.""",https://pubmed.ncbi.nlm.nih.gov/36851761,describe,describe,virotherapy for glioblastomas and describe several ovs and their combination with other
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,rank,ranks,glioblastoma ranks among the most lethal of all human cancers
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,display,display,"glioblastomas display striking cellular heterogeneity, with stem-like"
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,induce,induce,glioblastomas induce a systemic immunosuppression with mixed responses to oncoimmunologic
Abstract,"""Glioblastoma stem cells: lessons from the tumor hierarchy in a lethal cancer.""",https://pubmed.ncbi.nlm.nih.gov/31160393,offer,offers,"collectively, glioblastoma offers a reliable cancer to study cancer stem cells"
Abstract,"""A comprehensive profile of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/27041580,recur,recur,", primary glioblastomas invariably recur as aggressive, therapy-resistant relapses"
Abstract,"""A comprehensive profile of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/27041580,emerge,emerging,of recurrent glioblastoma is just slowly emerging.
Abstract,"""A comprehensive profile of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/27041580,ask,ask,on recurrent glioblastoma and ask whether and how therapies change intra-
Abstract,"""A comprehensive profile of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/27041580,determine,determine,"in recurrent glioblastoma will determine, whether, one day, glioblastoma"
Abstract,"""A comprehensive profile of recurrent glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/27041580,contain,contained,"day, glioblastoma can be contained in a state of chronic disease"
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,develop,develop,majority of glioblastomas (~90%) develop rapidly de novo in
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,differ,differ,"and secondary glioblastomas are largely indistinguishable, but they differ in their"
Abstract,"""The definition of primary and secondary glioblastoma.""",https://pubmed.ncbi.nlm.nih.gov/23209033,associate,associated,in primary glioblastomas and which are associated with a hypermethylation phenotype.
