Verb,count
treat,81
remain,56
have,46
use,36
include,32
undergo,31
show,26
target,24
associate,22
base,21
represent,15
receive,13
follow,12
analyze,12
identify,12
develop,12
occur,11
improve,11
discuss,11
provide,10
induce,10
increase,10
diagnose,10
compare,10
predict,9
exhibit,9
know,9
present,8
evaluate,8
lead,8
characterize,8
involve,7
perform,7
limit,7
affect,7
recur,7
account,7
appear,7
make,7
grade,7
emerge,7
enrol,6
report,6
carry,6
require,6
locate,5
demonstrate,5
support,5
study,5
randomize,5
operate,5
change,5
display,5
define,5
be,5
give,5
describe,5
suggest,5
consist,5
benefit,5
result,5
assess,5
guide,4
comprise,4
correlate,4
find,4
cause,4
propose,4
age,4
divide,4
express,4
review,4
examine,4
optimize,4
test,4
investigate,4
lack,4
establish,4
determine,4
challenge,4
reveal,4
contain,4
constitute,4
evolve,4
initiate,3
resect,3
offer,3
select,3
achieve,3
recognize,3
depend,3
emphasize,3
overcome,3
infiltrate,3
consider,3
start,3
restrict,3
control,3
grow,3
cure,3
see,3
mimic,3
activate,3
detect,3
enter,3
expect,3
collect,3
observe,3
progress,3
invade,3
continue,3
transplant,2
confirm,2
attempt,2
spread,2
play,2
unveil,2
derive,2
explain,2
generate,2
bear,2
extend,2
synthesize,2
accord,2
harbor,2
discover,2
analyse,2
overexpresse,2
obtain,2
attribute,2
acquire,2
respond,2
tolerate,2
mediate,2
allow,2
fractionate,2
profit,2
localize,2
go,2
drive,2
signal,2
tend,2
conduct,2
translate,2
subject,2
survive,2
reside,2
deliver,2
exclude,2
prolong,2
cover,2
contribute,2
promote,2
prevent,2
move,2
delay,2
impact,2
combine,2
alter,2
think,2
exploit,2
become,2
migrate,1
surmount,1
approve,1
xenografte,1
implant,1
noncode,1
repopulate,1
modify,1
multimodal,1
rank,1
wield,1
blind,1
ask,1
range,1
stem,1
disrupt,1
encompass,1
distribute,1
thrive,1
measure,1
graft,1
reduce,1
harness,1
monitor,1
cluster,1
lysate,1
internalize,1
care,1
administer,1
highlight,1
mount,1
take,1
rise,1
indicate,1
maximize,1
advance,1
metastasize,1
release,1
bring,1
hamper,1
inform,1
incorporate,1
rely,1
fail,1
need,1
irradiate,1
experience,1
attract,1
complete,1
stretch,1
recommend,1
prioritize,1
stand,1
withhold,1
arrive,1
chemotherapy,1
inhibit,1
enable,1
validate,1
revisit,1
reach,1
model,1
randomise,1
hyperthermia,1
estimate,1
prove,1
outline,1
inactivate,1
reflect,1
imply,1
deserve,1
apply,1
regard,1
exist,1
interpret,1
live,1
call,1
lie,1
augment,1
employ,1
pseudopalisade,1
nonrestricte,1
engraft,1
visualize,1
refer,1
clarify,1
accomplish,1
solve,1
potent,1
build,1
die,1
biomarker,1
accumulate,1
facilitate,1
integrate,1
t98,1
relate,1
direct,1
sponsor,1
classify,1
recapitulate,1
originate,1
mean,1
categorize,1
recognise,1
suppress,1
cross,1
-,1
vascularize,1
endow,1
underline,1
throughput,1
destroy,1
radio-,1
pool,1
manage,1
admit,1
summarize,1
vary,1
functionalize,1
compose,1
explore,1
enforce,1
stimulate,1
serve,1
pursue,1
create,1
gap,1
accelerate,1
hypofractionate,1
modulate,1
inject,1
proliferate,1
encounter,1
isolate,1
distinguish,1
homicide,1
deteriorate,1
amplify,1
face,1
maintain,1
qualitative,1
undertake,1
divert,1
yield,1
produce,1
influence,1
hypothesize,1
debilitate,1
fall,1
stratify,1
intend,1
arise,1
inoculate,1
repeat,1
infect,1
screen,1
share,1
document,1
re,1
hypermutate,1
inhabit,1
pretreate,1
expose,1
carmustine,1
remove,1
transfecte,1
normalize,1
convert,1
illustrate,1
enhance,1
subdivide,1
accompany,1
transduce,1
aid,1
leverage,1
do,1
plan,1
shed,1
